Gard ID,identifiers,Number of Matches,QID,Match Gard ID
1611,ORPHANET:1545 | OMIM:272430 | ORPHANET:157820 | UMLS:C1832409,3,Q3961672 | Q60195324 | Q55998740 | ,
1425,OMIM:112240 | ORPHANET:2050 | UMLS:C1862178,1,Q21127479 | ,False
12384,OMIM:615522,1,Q22965415 | ,False
12705,OMIM:120220,0,,
9246,OMIM:120140 | UMLS:C2931073,0,,
10961,,0,,
9573,UMLS:C1266044 | ORPHANET:247203,1,Q18975905 | ,True
1428,ORPHANET:2412,1,Q55783172 | ,True
1429,,0,,
9878,OMIM:609363 | UMLS:C0266481,1,Q55783672 | ,True
588,OMIM:203000 | UMLS:C1859964,1,Q55781635 | ,False
1433,,0,,
1434,,0,,
1436,OMIM:120300 | ORPHANET:98945 | UMLS:C1852767,2,Q1462309 | Q55950207 | ,
1437,OMIM:120400 | ORPHANET:1471 | UMLS:C1852752,1,Q55780433 | ,False
8502,OMIM:120430 | UMLS:C0155299,2,Q18070807 | Q48987599 | ,
1438,,0,,
1439,,0,,
1442,,0,,
1446,UMLS:C0266190,1,Q55782541 | ,False
6137,,0,,
9320,,0,,
10008,UMLS:C0431384,1,Q5149292 | ,True
1448,,0,,
1449,,0,,
13712,ORPHANET:231154 | OMIM:609889 | ICD 10:D81.8,1,Q55783701 | ,False
13587,ORPHANET:157949 | OMIM:233650,1,Q55781921 | ,False
10818,OMIM:614265,1,Q55784284 | ,False
12893,,0,,
12892,OMIM:615395 | ORPHANET:352563,1,Q18987134 | ,False
10602,ORPHANET:95494,1,Q922411 | ,False
6140,OMIM:607594 | ORPHANET:1572,1,Q1472818 | ,True
6141,UMLS:C0009492,1,Q1778968 | ,True
1452,OMIM:217000 | ORPHANET:169147,4,Q19121036 | Q5156399 | Q18553584 | Q19121035 | ,
2191,UMLS:C2930920 | OMIM:609536,2,Q18557854 | Q7702722 | ,
10626,OMIM:120950,1,Q7702722 | ,False
10625,OMIM:120960,0,,
9526,UMLS:C1285186,1,Q55762552 | ,True
1453,,0,,
9527,UMLS:C0398783,0,,
10597,ORPHANET:99429 | UMLS:C0936016,2,Q512313 | Q473262 | ,
